,name,description
198,Rocketswap,Rocketswap is a DEX / AMM which resides on the Lamden TAU blockchain. The purpose of rocketswap is to promote growth and foster innovation within the Lamden ecosystem.
199,BTRL,"BTRL is perhaps the best trade to have the option to showcase your digital forms of money, it concedes many exchanging sets its exchange to have the option to trade effectively and easily."
200,CoinPlace,0
201,PrimeXBT,"A revolutionary trading platform that features the most extensive trading toolset in the market. 

PrimeXBT offers features unlike any other trading platform, but is still using a simple user interface so both professional traders and beginner traders can make the most use of the platform."
202,Curve Finance (Moonbeam),
203,Bitstamp,"Bitstamp is a bitcoin exchange based in London. It allows trading between USD currency and bitcoin cryptocurrency. It allows USD, EUR, bitcoin, litecoin, ethereum, ripple or bitcoin cash deposits and withdrawals."
204,Knaken,
205,SafeTrade,
206,Xcalibra,"Xcalibra claims to be a custom-built cryptocurrency exchange established in Switzerland in 2019. The mission of Xcalibra is said to be  drive mass adoption of cryptocurrencies giving its users a secure, reliable and simple trading experience. Xcalibra claims it has a global reach servicing users across 100+ countries and they can purchase digital assets with 14 different national currencies. On top of that, Xcalibra claims that it was the first exchange which enabled trading cryptocurrencies with Serbian dinars recognizing the potential of this region. The platform claims to employ a combination of security measures to keep digital assets safe and it operates across fiber optic networks providing."
207,UniSat,
208,Cryptoa,"Cryptoa Exchange is a complete packaged solution and a financial product which aims to empower crypto investors to take the lead of their account on their own. Based on DEX model and offering all benefits of a CEX model as well, Cryptoa charges only 0.1% on all transactions (interexchange and withdrawal). To emphasize more, this is the lowest any exchange is charging currently in crypto space."
209,B4U Wallet,"With a B4U Currency wallet, you can hold Bitcoin, Bitcoin Cash, Dash Coin, Ethereum, Lite Coin, ZCash, Ripple, RSCoin, Malaysian Ringgit, Singapore Dollar, US Dollar, and Euro all in one place. our goal is always the same providing the top-notch solution in cryptocurrency exchange. Our services facilitate users by giving them a chance of using a secure wallet and easy of exchanging currencies.B4U wallet is basically equivalent to a bank account. B4U wallet makes it possible for you to receive a store or spend directly through your wallet. Similar to your bank account B4U wallet also becomes your personal interface to the Bitcoin network. Our wallet is secure & it is useful to spend your coins everywhere."
210,Nocks,Nocks was founded in 2015 by Roel Boer & Patrick Kivits. 
211,Dexzbitz,
212,Troca Ninja,0
213,CryptalDash,"CryptalDash is an online trading platform that promises to grant a trader access to the largest selection of cryptocurrencies around the world – in one place. CryptalDash is one of the newest exchanges from Ukraine, launched in July 2018. This exchange supports trading in the following cryptocurrencies: Bitcoin, Ethereum, USDT, Dimcoin and the exchange’s own token CryptalDash."
214,Ccore,"In its basic essence, Ccore is a ‘Crypto Payment Platform’ that allows people to spend their crypto currency in various fiat based ‘online services and stores. Ccore platform has a module structure, which enables to connect multiple extensions (modules) to platform. 4 main extensions of platform over which our team is currently working: Exchange, Wallet, Payment, Information. "
215,Dex-Trade,"Dex-Trade is a centralized cryptocurrency exchange founded in 2017 and registered in Belize. This is a modern space for safe and comfortable trading with minimal commissions. Dex-Trade is a universal exchange for both beginners and professional traders. The minimum spread and high liquidity in order books allow you to trade efficiently with orders of any volume. Along with global opportunities, the exchange also provides a demo trading mode for risk-free testing of your trading strategies. Our dedicated support team is online 24/7 to assist you with any questions."
216,ZG.top,"ZG.TOP is a global blockchain asset trading platform headquartered in Mongolia and is affiliated to Mongolia ZG Top Technology Co., Ltd. ZG.TOP has obtained investment of 10 million US dollars, from such companies as Songhe Capital, Bit Times AEX, Xiaoqiao Capital, Mousse Group, Waldorf Capital, Baihui Business Group, etc., and obtained the block issued by GBC of Mongolia Global Blockchain Research Center."
217,Cointradecx,"In order to attain strategic advantage in the market, Cointradecx has implemented state of the art technology for maximum security and customer satisfaction. This includes running their own blockchain nodes infrastructure, which allows provide great response and up time and improve the commitment to their users security. Cointradecx has also organically grown their social media presence, particularly Instagram and Telegram, bringing users closer to the exchange. And considering that Cointradecx is based in Uruguay, they can offer advantages in regards to privacy for the crypto-community based in most of regulated jurisdictions with the advantages of an improved cryptocurrency regulation."
218,Kuna,Kuna is a Kiev-based cryptocurrency exchange that offers trading against UAH and BTC. Kuna does not accept fiat currency other than Ukrainian Hryvnia (UAH).
219,Bitflix,Bitflix is a future exchange. Our purpose is to provide a fair and secured trade to crypto community. Our purpose is not just to list coin rather focus is how to list new coin. We wil not charge usdt or btc or eth to list a new token neither our native coin. We sill charge a new coin that particular crypto which we allow to list. We believe once any exchange allow to list a new coin they must believe that community. So we charged in there crypto who list the coin.
220,DEEX,"Deex Exchange is a part of Deex Ecosystem - the large full-scale blockchain system which allows to conduct ICO campaigns, implement payment system and realize many financial functions using fastest blockchain technologies. Deex Exchange provides reliable and convenient platform to quickly trade, buy or sell cryptocurrencies. Currently more than 20 cryptocurrencies are available for trading including Bitcoin, Ethereum and many other popular and profitable altcoins. You can become a part of referral program and get an income by inviting traders. Deex Node program allows to get passive income by owning profitable financial instrument."
221,Cryptopia,"Cryptopia is based in New Zealand and offers trading multiple digital assets (altcoins). The company also offers New Zealanders a relatively easy access to the world of cryptocurrencies, via its banking service."
222,Zaif,"Zaif exchange is one of the major Japanese cryptocurrency exchanges. It is owned by Tech Bureau, which last year secured a major investment from the Japanese forex brokerage Money Partners Group. Zaif offers trading both in cryptocurrency-for-cryptocurrency and cryptocurrency-for-fiat currencies. The fiat currency, naturally is JPY. "
223,Bitrue,Bitrue is one of the many cryptocurrency exchanges from Singapore. It launched in July 2018. Bitrue supports trading in a decent number of cryptocurrencies but does not accept any deposits of fiat currency.
224,ooobtc,OOOBTC is a cryptocurrency exchange that offers trading in cryptocurrencies only. There are not many details about where the company is located or when it was established.  OOOBTC offers 2-factor authentication and encryption of the users’ information. Funds are stored in offline cold storage.
225,Coinbene,"CoinBene is open to users around the world and offers several different languages, making it possible for most people to use the website in a language that they are fluent in. The address for CoinBene is located in Singapore at 1 Coleman St., The Adelphi."
226,Decoin,"Founded in 2017, Decoin is an exchange designed at its core by the crypto community for the crypto community. Decoin’s mission is to provide the most transparent and innovative Pro social Trading platform for Decoin's top traders, with maximum-security elements. Decoin’s exchange has an easy-to-use interface, for novice users, and advanced trading features for industry veterans. Decoin’s ecosystem also includes a coin called ""DTEP"", which is powered by an independent blockchain using a “PoS” consensus algorithm. Decoin is led by an experienced team of fintech experts, financial professionals, and experienced traders on a global scale."
227,Bluebelt,"Bluebelt is a multi-cryptocurrency exchange with Service Centers based in Japan. This platform offers clients a multi-market, distributed and robust exchange ecosystem that is under a legally compliant and transparent management. At its core, Bluebelt is rich with a diverse group of local crypto exchanges across Australia, Hong Kong, Estonia, Indonesia, Cambodia, India and, South Korea."
228,BIT.TEAM,"BIT.TEAM was launched in 2018, and the company’s headquarters is located in London. BIT.TEAM products include the SPOT exchange, P2P service and NFT marketplace. The first one ensures purchasing and selling cryptocurrencies via bank transfers and another 100 payment methods. BIT.TEAM P2P started to operate in 2018 and it currently has over 300 thousand active users.
NFT.bit.team was launched in 2020 on the basis of Decimalchain NFT. BIT.TEAM exchange was launched in 2022, and now it comprises the feature of SPOT trading with “limit”, “market” and “stop-loss” orders with the fee of 0.2%. Users can get up to 50% discount on fees with BTT token."
229,Bitex.la,"Founded in 2014, Bitex.la claims it is the first real time bitcoin exchange in Latin America. It offers a Bitcoin-buying service aimed mostly at novice crypto investors in Argentina, Chile and other Latin American countries. It is being audited by Deloitte."
230,Wohlstand CEX,"Drive the World towards the Prosperity of Cryptocurrency

Wohlstand CEX exchange is regulated and registered in European Region.
Wohlstand CEX will be able to offer a wide array of services. With just an click on platform, users will be able to send and receive funds from their devices, as long as they have an internet connection.

An European-based exchange that allows users to access crypto with ease could open up a completely new world for them. As a result, it could offer them financial freedom, including lower charges when it comes to sending and receiving funds.

Four Testaments of Wohlstand CEX:
Reliable, Robust, Reputable and Regulated"
231,MapleChange,0
232,CexZ,"CexZ offers an intuitive interface with real time orderbooks, charting tools, trade history, and a simple order process so you can trade from day one."
233,BitFex,Stock exchange which developing based on traders tasks and with the lowest fees.
234,Asymetrex,"Asymetrex claim to offer a kyc free trading experience to its users, also claims to be fast and secure."
235,TUNATRADES,"TunaTrades is a global exchange focused on Blockchain Waves, Tokens Ethereum and Altcoins assets. Its main currency is the asset TUNACOIN - TUNA."
236,BJS,"BJS was founded in 2017 and went online in November. It was officially launched in February 2018. It was founded by a group of bitcoin-affiliated blockchain enthusiasts and geeks. It is headquartered in the UK and has branches in Hong Kong, Singapore, and Shenzhen. The system architect comes from the core system of the bank's credit department. A strong technical R&D team ensures the security, stability, and efficiency of the system. BJS is committed to providing global users with secure, convenient personalized digital asset spot trading services. Information, transactions, hardware and software purses, and personalized services improve the ecological layout of community construction and the entire industry chain."
237,EXCOINCIAL,Excoincial claims to be an advanced multi-crypto exchange that is trader centric and hosts a range of promising features that facilitate smoother and safer crypto trading. It has advanced security features like Two Fach Authentication (2FA) and Elastic Multi-Stage Wallet Strategy. Its easy and quick e-KYC enables users to get registered and start trading right away. EXCOINCIAL has a very intuitive and user-friendly design that makes navigation easy and also provides for a great user experience.
238,LuchowSwap,LuchowSwap is a multi-chain decentralized exchanged with Automated Market Making (AMM). It's launched by LunaChow ecosystem.
239,Trader Joe,
240,EXNCE,
241,Waves Exchange,"Founded in 2016, Waves Exchange is a hybrid market where users can trade waves-based assets, including Waves, Waves Assets, fiat tokens and cryptocurrency tokens like wBTC and wETH. On the Waves EX, users can trade with no counterparty risk as all operations take place on the Waves blockchain itself ensuring that no trust is required."
242,EXX,"EXX is a Hong Kong based cryptocurrency exchange. They are mostly focused on the Southeast Asian Market, but also have an English version of the website. This, along with some of their trading conditions makes them a potential candidate for future global dominance."
243,Independent Reserve,"Independent Reserve is a cryptocurrency exchange that is based out of Sydney, Australia. Having been founded in 2013, it is one of the first crypto services to make trading available in Australia and New Zealand. The exchange operates in line with all of the laws and regulations laid out by the Australian financial services, thereby allowing for asset exchange in a completely legal and safe manner."
244,iCoinbay,"iCoinbay is a tokenized, community based digital asset exchange. The world's first exchange to issue insurance for token value. Members receive weekly income distribution for its contribution to the iCoinbay ecosystem."
245,ezBtc,"ezBtc is a Canadian cryptocurrency exchange that offers trading in major cryptocurrencies for Canadian dollars. In order to start trading, the client needs to get ID verification, as the company operates with “real money” and there are KYC and AML requirements that need to be met."
246,SushiSwap (Arbitrum),
247,ExchangeAssets,
248,CoinMargin,"A secure, fast and transparent crypto exchange platform that is not only providing exchange and trading services but also equipped with a unique feature that is valuing its users and their experience.

The main focus of CoinMargin is to provide all-inclusive trading ecosystem that incentivizes its users to learn, understand and experience the advantages brought by a decentralization platform."
249,Luxtrade,
250,Allcoin,"Allcoin is owned by the company Cascadia Blockchain Group, which is listed on the Canadian Security Exchange. Allcoin was launched in the summer of 2016 and is registered on a federal level as a money services business by FINTRAC (Financial Transactions and Reports Analysis Centre). It also says it is under the supervision of Canadian Financial Regulatory authorities."
251,BitConx,BitConx is a global cryptocurrency exchange that provides a platform for trading with zero fees.
252,FTX (Spot),"FTX is a cryptocurrency derivatives exchange built by traders, for traders.  They strive to build a platform powerful enough for professional trading firms and intuitive enough for first-time users."
253,Kraken,"Founded in 2011, Kraken Digital Asset Exchange is one of the world’s oldest bitcoin exchanges with the widest selection of digital assets and national currencies. Based in San Francisco with offices around the world."
254,Tokenomica DEX,
255,SouthXchange,"SouthXChange is an Argentinian cryptocurrency exchange launched February 2015. Like most similar venues, the exchange does not offer trading on margin and is not regulated. "
256,Bit.com Futures,
257,BitPreço,"BitPreço is a platform that aggregates orderbooks from several other exchanges to make it easier to its user to find always the best price.

Besides that, BitPreço has special rebates due to its volume, so its customers can enjoy very special prices.

The platform is the fastest growing in brazilian market and today is the top 2 in bitcoin volume in Brazil."
258,Coinbit,0
259,Bkex,
260,BTC-exchange,0
261,Oswap,Oswap.io is an automated token exchange for Obyte. Prices are set automatically using a mechanism called “constant product market maker”. Oswap.io earns better yields for liquidity providers than other DEXes and offers leverage trading without liquidations for traders.
262,bitFlyer,BitFlyer is a Japanese bitcoin exchange founded in 2014. the Japanese-based bitcoin exchange has raised $36.11 million in 7 rounds from 10 investors since being founded. Those investors include big names like Digital Currency Group.
263,Uniswap V3,"Uniswap is a decentralised cryptocurrency exchange (also known as a decentralised exchange) that facilitates automated transactions between cryptocurrency tokens on the Ethereum blockchain through the use of smart contracts. As of October 2020, Uniswap is estimated to be the largest decentralised exchange and the fourth largest cryptocurrency exchanger overall by daily trading volume. As of March 2021, Uniswap was generating fees of approximately US $2-3 million daily for liquidity providers that facilitate liquid markets for cryptocurrencies to be exchanged.

Uniswap was created on 2 November 2018 by Hayden Adams, a former Siemens mechanical engineer.

Uniswap received investments from venture capital firms such as Andreessen Horowitz, Paradigm Venture Capital Union Square Ventures LLC and ParaFi. Union Square Ventures LLC and ParaFi. Uniswap's average daily trading volume was USD 220 million in October 2020. Traders and investors have used Uniswap because of its use in decentralised finance (DeFi).

In April 2020, Uniswap's website was temporarily taken down quantify after hackers unsuccessfully attempted to use a re-logging trick on the exchange. 

Capital named it alongside Maker, Compound, Ankr, Aave and Chainlink as some of DeFi's ""coins to watch"" in 2021

Uniswap is a decentralised finance protocol used to exchange cryptocurrencies and tokens; it is provided on blockchain networks that are decentralised and run open-source software, unlike any centralised intermediary. This contrasts with cryptocurrency exchanges that are run by centralised companies such as Coinbase, Binance and OKEx.

Owners of a native cryptocurrency and a governance token called UNI vote on changes to the protocol, and then a team of developers implement them. UNI coins were initially distributed to early users of the protocol. Each Ethereum address that had interacted with Uniswap before 1 September 2020 received the ability to claim 400 UNI tokens (worth approximately $1,400 at that time). The market capitalisation of the UNI token is over $500 million as of October 2020."
264,VELIC,"VELIC is a security-focused crypto-finance platform, upon which a
range of advanced products and services are being built and delivered. Besides trading cryptocurrencies,  VELIC offers crypto collateralized loans and provides indexes to its customers."
265,Gokuex,Gokuex is a centralized crypto exchange based in Brazil. It supports BTC pairs.
266,Stellarport,"This is a decentralized exchange that has the goal of bringing Stellar (XLM) to the masses. As a decentralized exchange, Stellarport allows traders to manage their Stellar wallets conveniently by storing their individual private keys. The exchange was launched in 2018 by Stellarport LLC. "
267,Bitonic,"Bitonic is based in the Netherlands founded in 2012 and is one of the most renowned entities on the local market. They have been holding educational courses and presentations at major Dutch financial firms and universities. Additionally they provide a solution for online stores, who wish to start accepting Bitcoin. "
268,Bitocto Exchange,Cryptocurrency exchange based in Indonesia with fiat - Indonesia Rupiah (IDR) pairing.
269,CryptoSwap,"The hottest new AMM on BSC! Earn CST through yield farming, then stake it in Csyrup Pools to earn more tokens. Swap, stake, and earn — all on a platform you can trust."
270,Novaexchange,"Nova Exchange operates out of Sweden, which is located within the European Union. Our customers can trade in over 300 different digital assets. We are dedicated people that cover all the worlds time-zones, thus setting a high standard within the crypto world."
271,DODO (Polygon Network),
272,uTrade,uTrade is the AMM built using Protocol smart contracts. uTrade V2 offers enhanced support and exciting new opportunities for DeFi developers.
273,DDEX,
274,Bitso,Bitso is a Mexican cryptocurrency exchange founded in 2014. It allows users to exchange Bitcoin and Ether for Mexican Pesos. Users can deposit and withdraw MXN through the Ripple Gateway among others. Bitso is committed to developing efficient financial services in Mexico.
275,OasisDEX,
276,Cryptoplanex,"Cryptoplanex is a modern, safe Trading Platform for accessing cryptocurrency exchange markets with very simple interface and low trading fees. Our own API is easy-to-use, supplied with an instructional manual. Our Support Service communicates in Russian, English and Chinese and replies to the Customers' tickets 7 days a week within working hours (UTC+3). CryptoPlanex Exchange is a service for sale and purchase of cryptocurrency for cryptocurrecncy and for fiat money with large variety of trading tools; bots trading and arbitrage is also available and allowed. Our Customers may exchange, buy, sell, play on the rates fluctuations and make profits – same as at conventional exchanges. Except here they are dealing with a new type of money – cryptocurrency, which gives more room for maneuver and higher potential profit."
277,WazirX,"The WazirX platform has been designed for Indian investors. It is run by Nischal Schetty, Sameer Mhatre and Siddharth Menon. The WazirX executive team, as listed on the company’s website, are all co-founders of a social media management app known as Crowdfire, which was created in 2010. "
278,Tethys Finance,
279,BoltX,
280,CEX.IO,"CEX.IO is the ecosystem of cryptocurrency products designed for the customers of all backgrounds.

CEX.IO's retail-oriented products — Exchange, Broker, Earn, Loan, Mobile App, as well as business- and institutional-grade services — Prime and CEX Direct. 

Supported by the wide range of payment methods and industry-leading security, CEX.IO customers can buy, sell, trade, exchange, stake, and borrow against cryptocurrencies using CEX.IO products. "
281,Bitmxittz,"Bitmxittz - The Digital Assets Market, The real time cryptocoins, tokens exchange with Public API and Private API integration"
282,Bitbns,"Bitbns is a new Indian cryptocurrency exchange launched in 2017 in over 50 cryptocurrencies for INR. Bitbns offers its users a wallet to store their cryptocurrencies. Or they can use third-party wallets, if they so choose. Bitbns does not allow anonymous trading and requires clients to verify themselves with an ID and a PAN card in order to deposit INR. Before verifying, one can only view the price charts and order book or deposit cryptocurrencies. "
283,CODEX Exchange,0
284,Bitparax,"Bitparax Is young but the most technical equipped crypto exchange. It offers traders easy to use interface and transactions safety. Since 2019 March Bitparax team has the most fully range of security measures and security risk control measures in the industry. Bitparax welcomes global users and continues to expands digital currency in various countries to provide users with global trading opportunities. High-quality currencies are listed on Bitparax to offer traders comprehensive range of digital assets.
"
285,STEX,"Launched in September 2017, STEX is a centralized, licensed exchange located in Tallinn, Estonia. It has 3 types of verification that allow users to reduce trading fees by up to 0.05%. It supports crypto-to-crypto and fiat-to-crypto trading with no withdrawal limits."
286,Lukki,"We are Lukki exchange. Our name is in tune with the word “luck” not without reason. Our main goal is your convenience. Lukki is designed in such a way that you can start your trading path with maximum comfort and all the necessary tools. Trading on a crypto exchange is not always an exciting process that we usually see in movies. Most of the time, traders look at charts that jump from side to side."
287,VELVET,"Velvet Exchange is a platform where you can trade crypto-assets and euros without any limits. Deposit currency, make transfers and manage your money as you want it — regardless if you are an individual trader or a company. Velvet Exchange will provide you with all the necessary documents to confirm your income, aggregate your liquidity and offer other opportunities for profitable and convenient trading."
288,NFXTrade,
289,Polyx,"Polyx Exchange — buy, sell and store cryptocurrency, such as Bitcoin, Ethereum and much more
Polyx is a platform that makes it easy to work with cryptocurrencies: a secure wallet for storage, an exchange for trading. Cryptoexchange Polyx is equipped with modern technologies that allow the exchange of crypto assets in the most productive way."
290,OKX,"OKX is a Malta based world-leading digital asset exchange, providing advanced financial services to global traders by using blockchain technology. OKEx is also one of the top digital asset exchanges in the world by trading volume, serving over 20 million customers in over 100 countries. Its BTC futures trade also has nearly $1.5B of volume daily, and is widely recognized as the gold standard for the industry. <br> <br>

Exchange assets (transparency): <br>
$6 061 058 450 - according to nansen.ai, <br>
$5 965 053 104 - according to defillama.com
<br> <br>
Disclaimer - data is sourced from third-party and static at the current moment, we don't know about distribution of funds, it's relayed from exchanges, thus 3rd-party full independent audits is required for full picture"
291,GuldenTrader,
292,Bittylicious,"Bittylicious is a UK-based cryptocurrency cantor and exchange, which supports more than 11 cryptocurrencies."
293,Cryptobulls,"Cryptobulls Exchange enables its users to securely purchase & exchange crypto currencies for Crypto currencies without intermediaries. CBXE coin is Cryptobulls Coin, which makes each CBXE holder a partner of the Global Exchange."
294,1inch,"Launched in Mar 2019, 1inch is a DeFi aggregator and a decentralized exchange with smart routing. The core protocol connects a large number of decentralized and centralized platforms in order to minimize price slippage and find the optimal trade for the users. 1inch platform provides a variety of features in addition to swaps. Users can trade via limit orders, move coins between different liquidity pools, and this list expands constantly."
295,Bitkub,
296,Birake,"Birake has shared order book and active users within the whole Birake network, supporting market orders, network-zero fees, orders-free cancels and the ability to fill many trades at once."
297,YieldFields.Finance,
298,BTSE Futures,"An Innovative Platform for Futures and Spot Trading, which settle profits in any currency or coin that maximize your capital with up to 100x leverage. Post margin with multiple currencies and coins simultaneously. Easily add and remove multiple collateralized assets on the fly that benefits from volatile markets without being susceptible to the volatility of cryptocurrencies. Better liquidity with all currencies sharing the same liquidity pool via one order book."
299,Mercatox,"Mercatox is a cryptocurrency exchange launched in 2016. The firm operating the site and the brand is headquartered in London, UK."
300,Koinex,"Koinex is a cryptocurrency exchange based in India in 2017 that offers trading in some of the most popular cryptocurrencies against the local currency (INR). Although Koinex currently supports five cryptocurrencies, coin-to coin trading is not enabled on the exchange."
301,Zapple,Zapple is a new digital currency exchange based in the UK. We allow you to convert and trade digital currencies in a safe and secure environment. We apply strong security standards ensuring that your funds are always kept safe. Our systems are designed to cope with load and failure - supporting your trades when you need them most. Our order processing engine aims to match orders in milliseconds - no more waiting for distributed exchanges.
302,Allbit,0
303,BITHOLIC,
304,LiteBit.eu,"LiteBit is founded in 2013 and is a platform where cryptocurrency can be traded easy and secure. The platform is set up to buy, sell and manage cryptocurrency. At an exchange, cryptocurrencies can only be traded for other cryptocurrencies. With LiteBit, cryptocurrencies can be purchased directly with euros and paid for with the most widely used payment methods such as credit card, iDeal, Bancontact, Sofort, Giropay, SEPA and MyBank."
305,Dcoin,
306,Garantex,"Garantex is a fast growing global cryptocurrency exchange that provides users secure access to the global crypto markets. The exchange provides a selected number of cryptoassets pairs - BTC, USDT, DAI, ETH against Russian Rubles, Hryvnia and US Dollars."
307,EGERA,"Egera is first legal cryptocurrency exchange in Poland, which operate from polish company which held small electronic money license. The main goal is to offer fast, secure trading for most popular cryptocurrencies like Bitcoin, Litecoin etc. with FIAT pairs, providing high usability via fast payments, atms withdrawals and others."
308,Fastex,"Fastex is the cryptocurrency exchange platform of the Fastex blockchain
and crypto ecosystem that introduces Fasttoken, Fastex Verse metaverse space,
Fastex Chain blockchain, ftNFT marketplace, First Ticket blockchain-based
Raffle game and Fastex Pay. As a crypto exchange platform,
Fastex Exchange offers spot trading providing a list of cryptocurrencies
and support for all required order trading types such as limit, stop-limit,
market, stop-market, trailing stop, trailing stop limit, and trading API,
making the Fastex wallet a unified solution for the entire Fastex ecosystem."
309,BCP GO,"Our message to international businesses and entrepreneurs is simple: attend our international Crypto Exchange and get in touch well before. We want to help as many entrepreneurs as possible to get the High Smart Trading and international opportunities via our trusted Users. When your business and your community prospers, everyone prospers."
310,Dogex Global,"Dogex was created on October 12, 2020. With the aim of increasing profitability in the cryptocurrency business, which already has more than 1 billion investors worldwide. Dogex is a centralized exchange that operates globally in all countries. Our bag is totally innovative, easy to use and with modern technologies. The Dogex platform offers features such as: crypto trading, data analysis, bot functionality, marketing and signaling buying and selling cryptocurrencies. The system also allows live trading with integration for the entry and exit of assets."
311,Curve Finance,
312,BitSails,"BitSails is a brand new p2p exchange platform hub where everyone can easily exchange cryptocurrencies with a counterparty flawlessly and securely.

Main features: Ultra fast trading engine ""Ocean"", operated in EU country by early adopters and senior developers, military-grade network infrastructure security, low fees and wide range of markets supported, fast support & strong community."
313,1inch Liquidity Protocol (BSC),
314,DragonEX,"They were the first trading platform to introduce a dividend token, known as Dragon Token and they guaranteed that they would distribute all of the commission income from the daily transactions."
315,KuangEX,"KuangEX was established on October 1, 2019 and is headquartered in Ireland, it is said to be formed by a professional blockchain technology team, a Wall Street investment advisory team, an excellent fund management team, and a group of miners; providing security, Professional and fast digital asset trading and asset management services are dedicated to building the world's top mining currency digital asset trading platform."
316,Bolddax,"Bolddax is an exchange that is backed with excellence. Managed by team of experienced crypto traders with simple user interface for a new bee in the crypto sphere.

"
317,Trade Satoshi,"Trade Satoshi is a cryptocurrency platform based in London, UK. It only supports crypto-crypto exchange and does not support FIAT currencies. It began operating in 2015. One of its founders is Francesco Alibrandi - a bitcoin entrepreneur from Australia."
318,xCrypt,"xCrypt describes itself as the first trustful and safety Regulation-Complaint Digital Asset Exchange ready for Digital Assets, FIAT, and ERC721."
319,ABIT,"Founded in Australia, ABIT.com was officially launched since October 2019. It is the next generation digital asset exchange, which claims to focus on legal compliance and asset security."
320,MEXC,"MEXC exchange is a world-famous exchange platform. We aim at providing Secure, Convenient, Smart blockchain asset trading service, covering the market and price of cryptocurrencies including BTC, LTC, ETH, ETC etc."
321,Ex4ange,We have been developing the exchange from scratch for several years now. Only recently we opened it for trading with the same young cryptocurrencies as we do.
322,Bgogo,"Bgogo is a digital asset platform launched in November, 2018, with supernode self-governance. 50% of total platform token BGG will be used to reward users where users will get trading fees back in the equal amount of BGG. Bgogo aims to become “the cryptocurrency exchange of the community, by the community, and for the community”.  The Bgogo.com domain has its headquarters in California, although it is officially registered in the Cayman Islands. The company was founded by elite members from internet giants such as Alibaba, Facebook, IBM, and Twitter."
323,BitoPro,BitoPro is a centralized cryptocurrency exchange located in Taiwan.
324,Richamster,We are a team of crypto enthusiasts. Our goal is to create great tool that is convenient to use by. The main part of our team is inspired by the work of the community and we want its widest use in the real economy.
325,Bitnaru,0
326,BitcoinVN,Instant Vietnamese Cryptocurency Exchange.
327,Octium,"Octium Exchange is a Centralized Exchange. We are a team of Cryptocurrency Enthusiast hailing from India. Octium Exchange offers unique features to there customers and also creators of tokens and coin. Octium Exchange at this moment supports Spot Trading and P2P Trading (P2P trading is only available for India) at the moment. Currently Octium Exchange has 28 coins and 46 market pairs running with 4061 users and 2.24 million dollar volume in total. Octium exchange also support fiat transaction (Currently this service is only available in India). Every user needs to do a compulsory KYC.

We have the lowest trading fees in the market, ranging from 0.01% to 0.02% for maker and taker and we charge very minimum withdrawal fees to our user. Also all the fiat and crypto deposits are free of any fees.

- Octium Network has robust launched pad, where new and aspiring tokens can list themselves to conduct successful IEOs on our exchange.
- Smart Staking is a feature where our users can HODL cryptocurrencies of there choice to earn good interest rate while they are doing HODL
- Voting, We regularly do votings of different cryptocurrencies in our network, to understand communities view on particular token listings, we also use our voting platform to list new tokens on our exchange.
- Competitions, We do regular competitions on our exchange for different tokens and coins, this helps token holders earn more by trading / deposting and holding tokens.
- Refferal Program, our trading customers can earn extra income and get reduction in trading fees, when they reffer one or more of there friends to our exchange."
328,DSX,"London-based DSX crypto-exchange was launched in december, 2014. The company acts as a EMD Agent - an authorised representative of a firm regulated by Financial Conduct Authority (FCA). "
329,Folgory,
330,DFLOW,DFlow is an exchange designed to support the blockchain and cryptocurrency economy.
331,OCCE,
332,Paribu,"Paribu, which was established in Turkey in 2017, is a digital assets trading platform with the highest transaction volume in Turkey. Paribu offers TRY fiat currency/crypto currency transaction services to its users while providing them with 24/7 support and trading services. Paribu trades in 18 crypto currencies including Bitcoin."
333,Coinhouse,
334,Tokenmom,"Tokenmom, a free decentralized crypto exchange created in 2018, aims to be a leader and innovator in its market."
335,Coin Galaxy,"The young and prospective Coin-Galaxy.com exchange is focused, above all, on traders who take their first steps in trading.
That is why we pay much attention to training. Aside from technical video tutorials, we also have a free training course ""How to trade cryptocurrency from scratch"". Moreover, Coin Galaxy constantly makes airdrops for its clients, thanks to which you can get top-rated crypto coins making simple actions. User fund security is also paid due regard."
336,AAX,"AAX is the world’s first cryptocurrency exchange to be powered by LSEG Technology’s Millennium Exchange, the same matching engine at the heart of tier-one capital markets. AAX is a member of London Stock Exchange Group’s global ‘Partner Platform’. Offering OTC, Spot, and Futures trading, quoting more than 50 cryptocurrency pairs and listing 5 perpetual futures contracts for Bitcoin, Ether, Litecoin, Ripple, and EOS, which can be traded with high leverage, AAX provides a secure, deeply liquid, ultra-low latency and fully compliant trading platform. It offers an institutional-grade platform, for everyone."
337,Bleutrade,Bleutrade is a cryptocurrency exchange. It has been launched in 2014 and claims to have around 30 000 users. Like most cryptocurrency exchanges Bleutrade has its own web-based trading platform.
338,CoinMate,"CoinMate is a cryptocurrency exchange based in London, founded in 2014. The main fiat currencies are EUR and CZK. "
339,Darb Finance,0
340,Ganza,"GANZA cryptocurrency exchange has been created as an independent exchange aimed at cryptocurrency popularization and producing opportunities of passive income gaining Up to date, the GANZA ecosystem includes • Charts with functionality that satisfies all analytical and artistic wishes of the client. • Secure #P2P lending • Large selection of strategies, due to the number of types of orders • GFT exchange token, which lays in the basis of the ecosystem of exchange financial instruments • GFT sales several rounds conduction"
